Common Butterfly,160,All except Jul & Aug,4AM-7PM,Flying around,0,
Yellow Butterfly,160,"March, April, May, June, September, October",4AM-7PM,Flying around,0,
Tiger Butterfly,240,"March, April, May, June, July, August, September",4AM-7PM,Flying around,0,
Peacock Butterfly,2500,"March, April, May, June",4AM-7PM,"Flying around ""rare flowers""",20,
Common Bluebottle,300,"April, May, June, July, Aug",4AM-7PM,Flying around,0,
Paper Kite Butterfly,1000,All,8AM-7PM,Flying around,0,
Great Purple Emperor,3000,"May, June, July, Aug",4AM-7PM,Flying around,50,
Monarch Butterfly,140,"September, October, November",N/A,Flying around,0,
Emperor Butterfly,4000,"January, February, March, June, July, August, September, December",5PM-8AM,Flying around,20,
Agrias Butterfly,3000,"April, May, June, July, August, September",8AM-5PM,Flying around,20,
Rajah Brooke's Birdwing,2500,"All except March, October, November",8AM-5PM,Flying around,20,
Queen Alexandra's Birdwing,4000,"May, June, July, August, September",8AM-4PM,Flying around,50,
Moth,130,All,7PM-4AM,Buzzing around lamps and lights outside (there's usually one next to Residential Services),0,
Atlas Moth,3000,"April, May, June, July, August, September",7PM-4AM,On the side of trees,20,
Madagascan Sunset Moth,2500,"April, May, June, July, August, September",8AM-4PM,Flying around,20,
Long Locust,200,"April, May, June, July, August, September, October, November",8AM-7PM,Hopping on the floor,0,
Migratory Locust,600,"August, September, October, November",8AM-7PM,Hopping on the floor,20,
Rice Grasshopper,160,"August, September, October, November",8AM-7PM,Hopping on the floor,0,
Grasshopper,160,"July, August, September",8AM-5PM,Hopping on the floor,0,
Cricket,130,"September, October, November",5PM-8AM,Hopping on the floor,0,
Bell Cricket,430,"September, October",5PM-8AM,Hopping on the floor,0,
Mantis,430,"All except January, February, December",8AM-5PM,Praying on flowers,0,
Orchid Mantis,2400,"All except January, February, December",8AM-5PM,Praying on white flowers,20,
Honeybee,200,"March, April, May, June, July",8AM-5PM,Flying around,0,
Wasp,2500,All,All,Catch in net when they attack you after shaking or chopping a tree,0,
Brown Cicada,250,"July, August",8AM-5PM,On the side of trees,0,
Robust Cicada,300,"July, August",8AM-5PM,On the side of trees,0,
Giant Cicada,500,"July, August",8AM-5PM,On the side of trees,20,
Walker Cicada,400,"August, September",8AM-5PM,On the side of trees,0,
Evening Cicada,550,"July, August","4AM-8AM, 4PM-7PM",On the side of trees,0,
Cicada Shell,10,"July, August",All,On the side of trees,50,
Red Dragonfly,180,"September, October",8AM-7PM,Flying around,0,
Darner Dragonfly,230,"April, May, June, July, August, September, October",8AM-5PM,Flying around,0,
Banded Dragonfly,4500,"May, June, July, August, September, October",8AM-5PM,Flying around,50,
Damselfly,500,"January, February, November, December",All,Flying around,0,
Firefly,300,June,7PM-4AM,Flying around,0,
Mole Cricket,500,"January, February, March, April, May, November, December",All,Dig underground,0,
Pondskater,130,"May, June, July, August, September",8AM-7PM,Scooting on the top of rivers and ponds,0,
Diving Beetle,800,"May, June, July, August, September",8AM-7PM,Scooting on the top of rivers and ponds,0,
Giant Water Bug,2000,"April, May, June, July, August, September",7PM-8AM,Scooting on the top of rivers and ponds,50,
Stinkbug,120,"All except January, February, November, December",All,In bunches of flowers,0,
Man-faced Stink Bug,1000,"All except January, February, November, December",7PM-8AM,In bunches of flowers,20,
Ladybug,200,"March, April, May, June, October",8AM-5PM,In bunches of flowers,0,
Tiger Beetle,1500,"All except January, November, Decemeber",All,Crawling on the floor,20,
Jewel Bettle,2400,"April, May, June, July, August",All,"Spawns on chopped tree stumps (use axe, not stone axe, to chop down)",20,
Violin Beetle,450,"May, June, September, October, November",All,"Spawns on chopped tree stumps (use axe, not stone axe, to chop down)",0,
Citrus Long-horned Beetle,350,All,All,"Spawns on chopped tree stumps (use axe, not stone axe, to chop down)",0,
Rosalia Batesi Beetle,3000,"May, June, July, August, September",All,"Spawns on chopped tree stumps (use axe, not stone axe, to chop down)",20,
Blue Weevil Beetle,800,"July, August",All,,0,
Earth-boring Dung Beetle,300,"July, August, September",All,Rolling balls of dung around,0,
Dung Beetle,3000,"January, February, December",All,Rolling balls of dung around,0,
Scarab Beetle,10000,"July, August",11PM-8AM,On the side of trees,50,
Drone Beetle,200,"June, July, August",All,On the side of trees,0,
Goliath Beetle,8000,"June, July, August, September",5PM-8AM,On the side of palm trees,100,
Saw Stag,2000,"July, August",All,On the side of trees,0,
Miyama Stag,1000,"July, August",All,On the side of trees,0,
Giant Stag,10000,"July, August",11PM-8AM,On the side of trees,50,
Rainbow Stag,6000,"June, July, August, September",7PM-8AM,On the side of trees,50,
Cyclommatus Stag,8000,"July, August",5PM-8AM,On the side of coconut trees,100,
Golden Stag,12000,"July, August",5PM-8AM,On the side of coconut trees,100,
Giraffe Stag,12000,"July, August",5PM-8AM,On the side of trees,100,
Horned Dynastid,1350,"July, August",5PM-8AM,On the side of trees,0,
Horned Atlas,8000,"July, August",5PM-8AM,On the side of trees,100,
Horned Elephant,8000,"July, August",5PM-8AM,On the side of trees,100,
Horned Hercules,12000,"July, August",5PM-8AM,On the side of trees,100,
Walking Stick,600,"July, August, September, October, November","4AM-8AM, 5PM-7PM",Falls out of shaken trees,20,
Walking Leaf,600,"July, August, September",All,Underneath trees,20,
Bagworm,600,All,All,Falls out of shaken trees,0,
Ant,80,All,All,On rotten food like rotten turnips on the floor,0,
Hermit Crab,1000,All,7PM-8AM,Looks like a shell but runs away when you get close,0,
Wharf Roach,200,All,All,On rocks on the beach,0,
Fly,60,All,All,"Buzzing around ""trash items"" like tires if you leave them on the ground.",0,
Mosquito,130,"June, July, August, September",5PM-4AM,Flying around,0,
Flea,70,"All except January, February, March, December",All,Bouncing on certain villager's heads,0,
Snail,250,All,All,On rocks when it's raining,0,
Pill Bug,250,"All except July, August",11PM-4PM,Crawls from under rocks when you hit them,0,
Centipede,300,"All except July, August",4PM-11PM,Crawls from under rocks when you hit them,0,
Spider,480,All,7PM-8AM,Shake trees at night,0,
Tarantula,8000,"January, February, March, April, November, December",7PM-4AM,Scurrying around the floor at night - attacks you,0,
Scorpion,8000,"May, June, July, August, September, October,",7PM-4AM,Scurrying around the floor at night - attacks you,0,